Subject,List,FirstorSecond,Experiment,Sentence,Picture,Accuracy,RT
103,2,2,1,Blank,Color,1,787.5
103,2,2,1,Color,Color,1,640.5
103,2,2,1,Color,Gray,0.916666667,1080
105,3,2,1,Blank,Gray,1,1366.5
105,3,2,1,Blank,Color,0.916666667,1793
105,3,2,1,Color,Color,0.916666667,1462
105,3,2,1,Color,Gray,1,1495.5
107,4,1,1,Blank,Gray,1,1037.5
107,4,1,1,Blank,Color,1,894.5
107,4,1,1,Color,Color,1,1167
107,4,1,1,Color,Gray,0.916666667,1443
111,2,2,1,Blank,Gray,1,966.5
111,2,2,1,Blank,Color,0.916666667,1280
111,2,2,1,Color,Color,1,1052.5
111,2,2,1,Color,Gray,0.666666667,1137
113,3,2,1,Blank,Gray,0.916666667,539
113,3,2,1,Blank,Color,1,515
113,3,2,1,Color,Color,1,515
113,3,2,1,Color,Gray,1,606
115,4,1,1,Blank,Gray,1,577
115,4,1,1,Blank,Color,1,736.5
115,4,1,1,Color,Color,1,875.5
115,4,1,1,Color,Gray,0.916666667,835
117,1,2,1,Blank,Gray,1,1357
117,1,2,1,Blank,Color,1,1310
117,1,2,1,Color,Color,1,1121.5
117,1,2,1,Color,Gray,1,1456
119,2,1,1,Blank,Gray,1,649.5
119,2,1,1,Blank,Color,1,629
119,2,1,1,Color,Color,0.916666667,696
119,2,1,1,Color,Gray,0.916666667,703
123,4,1,1,Blank,Gray,1,669
123,4,1,1,Blank,Color,1,642.5
123,4,1,1,Color,Color,1,681.5
123,4,1,1,Color,Gray,1,816.5
125,1,1,1,Blank,Gray,1,841.5
125,1,1,1,Blank,Color,1,993.5
125,1,1,1,Color,Color,0.916666667,623
125,1,1,1,Color,Gray,1,872
129,3,1,1,Blank,Gray,1,1259.5
129,3,1,1,Blank,Color,1,1337
129,3,1,1,Color,Color,0.833333333,1377.5
129,3,1,1,Color,Gray,1,1196
131,4,1,1,Blank,Gray,0.916666667,597
131,4,1,1,Blank,Color,0.916666667,531
131,4,1,1,Color,Color,1,634
131,4,1,1,Color,Gray,1,605.5
133,1,2,1,Blank,Gray,1,538
133,1,2,1,Blank,Color,0.916666667,492
133,1,2,1,Color,Color,1,474.5
133,1,2,1,Color,Gray,1,488
135,2,2,1,Blank,Gray,1,953.5
135,2,2,1,Blank,Color,1,1142
135,2,2,1,Color,Color,1,871.5
135,2,2,1,Color,Gray,1,1092
137,3,1,1,Blank,Gray,1,1281.5
137,3,1,1,Blank,Color,1,1414
137,3,1,1,Color,Color,1,1295.5
137,3,1,1,Color,Gray,1,1842.5
139,4,2,1,Blank,Gray,1,685
139,4,2,1,Blank,Color,1,691
139,4,2,1,Color,Color,1,677
139,4,2,1,Color,Gray,0.75,664
141,1,1,1,Blank,Gray,1,709
141,1,1,1,Blank,Color,1,697.5
141,1,1,1,Color,Color,1,620.5
141,1,1,1,Color,Gray,0.916666667,691
143,2,2,1,Blank,Gray,1,746.5
143,2,2,1,Blank,Color,1,939
143,2,2,1,Color,Color,1,720.5
143,2,2,1,Color,Gray,1,709.5
145,3,1,1,Blank,Gray,1,367.5
145,3,1,1,Blank,Color,0.916666667,359
145,3,1,1,Color,Color,0.833333333,376
145,3,1,1,Color,Gray,1,391.5
147,4,1,1,Blank,Gray,1,704
147,4,1,1,Blank,Color,1,1159
147,4,1,1,Color,Color,0.916666667,1039
147,4,1,1,Color,Gray,1,1004.5
149,1,2,1,Blank,Gray,0.916666667,715
149,1,2,1,Blank,Color,1,765
149,1,2,1,Color,Color,1,687.5
149,1,2,1,Color,Gray,1,772
151,2,1,1,Blank,Gray,1,646.5
151,2,1,1,Blank,Color,0.916666667,673
151,2,1,1,Color,Color,1,756.5
151,2,1,1,Color,Gray,1,663.5
153,3,1,1,Blank,Gray,1,640.5
153,3,1,1,Blank,Color,1,567
153,3,1,1,Color,Color,1,464
153,3,1,1,Color,Gray,0.916666667,634
155,4,1,1,Blank,Gray,1,491
155,4,1,1,Blank,Color,1,698.5
155,4,1,1,Color,Color,1,525.5
155,4,1,1,Color,Gray,0.916666667,669
157,1,1,1,Blank,Gray,0.916666667,668
157,1,1,1,Blank,Color,1,661
157,1,1,1,Color,Color,1,651
157,1,1,1,Color,Gray,1,815
159,2,1,1,Blank,Gray,1,760.5
159,2,1,1,Blank,Color,1,684
159,2,1,1,Color,Color,0.916666667,673
159,2,1,1,Color,Gray,0.916666667,803
161,3,1,1,Blank,Gray,1,789
161,3,1,1,Blank,Color,0.916666667,708
161,3,1,1,Color,Color,0.916666667,625
161,3,1,1,Color,Gray,1,762
163,4,2,1,Blank,Gray,1,1135.5
163,4,2,1,Blank,Color,1,1020.5
163,4,2,1,Color,Color,1,963
163,4,2,1,Color,Gray,1,1349.5
165,1,2,1,Blank,Gray,1,1177
165,1,2,1,Blank,Color,1,692.5
165,1,2,1,Color,Color,1,1802
165,1,2,1,Color,Gray,1,1030
167,2,1,1,Blank,Gray,1,1093
167,2,1,1,Blank,Color,1,1221.5
167,2,1,1,Color,Color,0.916666667,1019
167,2,1,1,Color,Gray,1,1014
169,2,2,1,Blank,Gray,1,880
169,2,2,1,Blank,Color,1,904
169,2,2,1,Color,Color,1,774
169,2,2,1,Color,Gray,0.916666667,842
171,4,2,1,Blank,Gray,0.916666667,1545
171,4,2,1,Blank,Color,1,1389
171,4,2,1,Color,Color,1,1878
171,4,2,1,Color,Gray,0.916666667,1813
173,2,1,1,Blank,Gray,1,664
173,2,1,1,Blank,Color,1,720
173,2,1,1,Color,Color,1,810
173,2,1,1,Color,Gray,1,707.5
175,4,1,1,Blank,Gray,1,957.5
175,4,1,1,Blank,Color,1,985.5
175,4,1,1,Color,Color,0.916666667,782
175,4,1,1,Color,Gray,1,1710.5
177,2,1,1,Blank,Gray,1,720
177,2,1,1,Blank,Color,1,963.5
177,2,1,1,Color,Color,1,787
177,2,1,1,Color,Gray,0.916666667,1003
179,4,2,1,Blank,Gray,1,833
179,4,2,1,Blank,Color,1,770.5
179,4,2,1,Color,Color,1,788
179,4,2,1,Color,Gray,1,1106
181,2,1,1,Blank,Gray,1,772.5
181,2,1,1,Blank,Color,0.916666667,845
181,2,1,1,Color,Color,0.916666667,648
181,2,1,1,Color,Gray,1,1016
183,4,1,1,Blank,Gray,1,1505
183,4,1,1,Blank,Color,1,1583
183,4,1,1,Color,Color,0.916666667,2204
183,4,1,1,Color,Gray,1,1954
185,2,2,1,Blank,Gray,1,937
185,2,2,1,Blank,Color,0.833333333,1050
185,2,2,1,Color,Color,1,766
185,2,2,1,Color,Gray,1,1000.5
189,2,1,1,Blank,Gray,1,630.5
189,2,1,1,Blank,Color,1,651
189,2,1,1,Color,Color,1,710
189,2,1,1,Color,Gray,1,636.5
191,4,2,1,Blank,Gray,1,909
191,4,2,1,Blank,Color,1,1142
191,4,2,1,Color,Color,1,805
191,4,2,1,Color,Gray,1,965.5
195,4,2,1,Blank,Gray,0.916666667,657
195,4,2,1,Blank,Color,1,653
195,4,2,1,Color,Color,1,707
195,4,2,1,Color,Gray,1,778
197,2,1,1,Blank,Gray,1,437.5
197,2,1,1,Blank,Color,0.916666667,505
197,2,1,1,Color,Color,1,472.5
